probe	count.ini	count.fil	count.xun	count.uni	count.qc	diagnosis
INVHsInv0095BP2NA19240	2909	1630	0	1630	1630	
INVHsInv0097BP1NA15510	335	4	0	4	4	
INVHsInv0097BP2NA15510	2277	4	0	4	4	
INVHsInv0098BP1NA19240	757	267	0	267	267	
INVHsInv0098BP2NA19240	3053	231	75	156	156	errorMatches
INVHsInv0102BP1NA12156	2002	266	0	266	266	
INVHsInv0102BP2NA12156	840	279	0	279	279	
INVHsInv0105BP1NA18507	1374	798	0	798	798	
INVHsInv0105BP2NA18507	1606	976	0	976	976	
INVHsInv0113BP1NA06985	1762	101	0	101	101	
INVHsInv0113BP2NA06985	2914	95	0	95	95	
INVHsInv0141BP1NA12156	4474	95	0	95	95	
INVHsInv0141BP2NA12156	4175	84	0	84	84	
INVHsInv0156BP1NA12878	591	227	0	227	227	
INVHsInv0156BP2NA12878	2421	286	0	286	286	
INVHsInv0163BP1NA11995	407	213	0	213	213	
INVHsInv0163BP2NA11995	1272	236	0	236	236	
INVHsInv0164BP1HG03838	1843	81	0	81	81	
INVHsInv0164BP2HG03838	1751	91	0	91	91	
INVHsInv0174BP1CHM1	3598	1723	0	1723	1723	
INVHsInv0174BP2CHM1	1687	626	0	626	626	
INVHsInv0181BP1CHM1	106	0	0	0	0	emptyAlt,allFiltered
INVHsInv0181BP2CHM1	1621	582	580	2	2	errorMatches
INVHsInv0191BP1CHM1	189	113	0	113	113	
INVHsInv0191BP2CHM1	169	119	0	119	119	
INVHsInv0200BP1NA12878	978	17	0	17	17	
INVHsInv0201BP1Celera	3840	1004	0	1004	1004	
INVHsInv0201BP2Celera	3329	871	0	871	871	
INVHsInv0212BP1HX1	54	34	0	34	34	
INVHsInv0212BP2HX1	76	54	0	54	54	
INVHsInv0213BP1NA19440	1547	45	0	45	45	
INVHsInv0213BP2NA19440	148	43	0	43	43	
INVHsInv0260BP1NA18517	2868	319	0	319	319	
INVHsInv0284BP1NA19129	167	37	0	37	37	
INVHsInv0284BP2NA19129	929	39	0	39	39	
INVHsInv0379BP1Inv	144	18	0	18	18	
INVHsInv0379BP2Inv	266	16	0	16	16	
INVHsInv0409BP1NA12878	1795	514	0	514	514	
INVHsInv0409BP2NA12878	1077	372	0	372	372	
INVHsInv0442BP1AK1	3092	861	0	861	861	
INVHsInv0442BP2AK1	3540	874	0	874	874	
INVHsInv0553BP1NA12878	1650	25	0	25	25	
INVHsInv0901BP0CHM1_versionalternativa	3897	588	0	588	588	
INVHsInv0901BP1CHM1	597	1	0	1	1	
INVHsInv0901BP2CHM1	2067	1	0	1	1	
INVHsInv0960BP1NA18552	393	123	0	123	123	
INVHsInv0960BP2NA18552	2259	121	0	121	121	
INVHsInv0965BP1NA19129	2570	218	0	218	218	
INVHsInv0965BP2NA19129	406	203	0	203	203	
INVHsInv0989BP1CHM1	977	54	0	54	54	
INVHsInv0989BP2CHM1	174	19	0	19	19	
INVHsInv0991BP1CHM1	2903	1381	0	1381	1381	
INVHsInv0991BP2CHM1	1194	715	0	715	715	
INVHsInv1053BP1HuRef	3838	869	0	869	869	
INVHsInv1053BP2HuRef	3255	1203	0	1203	1203	
INVHsInv1065BP1NA18956	1735	238	0	238	238	
INVHsInv1065BP2NA18956	1246	351	0	351	351	
INVHsInv1065BP3NA18956	829	232	0	232	232	
INVHsInv1065BP4NA18956	2454	363	0	363	363	
INVHsInv1066BP1HG00268	899	35	0	35	35	
INVHsInv1066BP2HG00268	96	37	0	37	37	
INVHsInv1070BP1NA11829	2254	21	0	21	21	
INVHsInv1070BP2NA11829	1294	26	0	26	26	
INVHsInv1075BP1NA19129	4346	253	0	253	253	
INVHsInv1075BP2NA19129	1391	197	3	194	194	errorMatches
INVHsInv1116BP1HuRef	4466	1758	0	1758	1758	
INVHsInv1116BP2HuRef	2378	1458	0	1458	1458	
INVHsInv1122BP1HuRef	2305	476	0	476	476	
INVHsInv1122BP2HuRef	1040	437	0	437	437	
INVHsInv1127BP1NA19434	837	52	0	52	52	
INVHsInv1127BP2NA19434	660	41	0	41	41	
INVHsInv1128BP1HG00733	1471	16	0	16	16	
INVHsInv1128BP2HG00733	1682	14	0	14	14	
INVHsInv1129BP1HG03115	2186	46	0	46	46	
INVHsInv1129BP2HG03115	346	31	0	31	31	
INVHsInv1143BP1NA19240	37	24	0	24	24	
INVHsInv1143BP2NA19240	41	29	0	29	29	
INVHsInv1222BP1NA19129	256	136	0	136	136	
INVHsInv1222BP2NA19129	2719	92	0	92	92	
INVHsInv1256BP1NA12878	2001	110	0	110	110	
INVHsInv1256BP2NA12878	1719	111	0	111	111	
INVHsInv1258BP1NA19240	1995	240	0	240	240	
INVHsInv1258BP2NA19240	2473	251	0	251	251	
INVHsInv1263BP1HG02059	2437	64	0	64	64	
INVHsInv1263BP2HG02059	1996	131	0	131	131	
INVHsInv1264BP1CMT001	97	55	0	55	55	
INVHsInv1264BP2CMT001	5539	1997	1993	4	4	errorMatches
INVHsInv1306BP1HG02818	210	35	0	35	35	
INVHsInv1306BP2HG02818	112	57	0	57	57	
INVHsInv1314BP1NA19434	801	31	0	31	31	
INVHsInv1314BP2NA19434	2631	97	60	37	37	errorMatches
INVHsInv1321BP1AK1	1188	704	0	704	704	
INVHsInv1321BP2AK1	4008	494	483	11	11	errorMatches
INVHsInv1348BP1NA12878	2705	215	0	215	215	
INVHsInv1348BP2NA12878	571	215	0	215	215	
INVHsInv1358BP1NA19129	2200	148	0	148	148	
INVHsInv1358BP2NA19129	465	156	0	156	156	
INVHsInv1360BP1HG02818	1728	31	0	31	31	
INVHsInv1360BP2HG02818	2215	33	0	33	33	
INVHsInv1402BP1NA12156	2454	71	0	71	71	
INVHsInv1402BP2NA12156	751	71	0	71	71	
INVHsInv1421BP1NA12004	1992	25	0	25	25	
INVHsInv1421BP2NA12004	781	30	0	30	30	
INVHsInv1427BP1HG02059	2602	171	0	171	171	
INVHsInv1427BP2HG02059	876	167	0	167	167	
