probe	count.ini	count.fil	count.xun	count.uni	count.qc	diagnosis
INVHsInv1128BP1HG00733	2077	16	0	16	5	
INVHsInv1128BP2HG00733	2439	17	0	14	2	
INVHsInv1129BP1HG03115	3084	48	0	44	33	
INVHsInv1129BP2HG03115	476	35	0	31	24	
INVHsInv1143BP1NA19240	43	29	0	23	11	
INVHsInv1143BP2NA19240	50	35	0	28	11	
INVHsInv1222BP1NA19129	287	149	0	129	82	
INVHsInv1222BP2NA19129	4039	102	0	90	62	
INVHsInv1256BP1NA12878	2933	180	0	110	18	
INVHsInv1256BP2NA12878	2412	176	0	110	16	
INVHsInv1258BP1NA19240	2945	316	0	240	129	
INVHsInv1258BP2NA19240	3519	313	0	248	124	
INVHsInv1263BP1HG02059	4546	86	0	64	30	
INVHsInv1263BP2HG02059	2854	177	0	130	66	
INVHsInv1264BP1CMT001	178	103	0	55	4	
INVHsInv1264BP2CMT001	7611	2756	1993	4	1	errorMatches
INVHsInv1306BP1HG02818	139	28	0	20	7	
INVHsInv1306BP2HG02818	81	43	0	30	7	
INVHsInv1314BP1NA19434	872	33	0	31	26	
INVHsInv1314BP2NA19434	3758	183	60	37	30	errorMatches
INVHsInv1321BP1AK1	1514	904	0	695	351	
INVHsInv1321BP2AK1	5579	686	483	11	3	errorMatches
INVHsInv1348BP1NA12878	3870	327	0	212	64	
INVHsInv1348BP2NA12878	829	328	0	211	59	
INVHsInv1358BP1NA19129	3040	171	0	147	114	
INVHsInv1358BP2NA19129	555	198	0	155	97	
INVHsInv1360BP1HG02818	2436	35	0	31	18	
INVHsInv1360BP2HG02818	3124	36	0	33	27	
INVHsInv1402BP1NA12156	3568	136	0	71	1	
INVHsInv1402BP2NA12156	915	132	0	71	2	
INVHsInv1421BP1NA12004	2846	48	0	25	0	emptyAlt
INVHsInv1421BP2NA12004	1120	49	0	30	0	emptyAlt
INVHsInv1427BP1HG02059	3689	231	0	168	73	
INVHsInv1427BP2HG02059	1195	221	0	158	69	
INVHsInv1474BP1HG02623	3127	167	0	135	83	
INVHsInv1474BP2HG02623	2175	126	0	104	69	
INVHsInv1569BP1CHM1	2544	40	0	20	0	emptyAlt
INVHsInv1569BP2CHM1	2727	54	0	27	0	emptyAlt
INVHsInv1590BP1NA19240	18722	118	0	89	53	
INVHsInv1590BP2NA19240	2588	122	0	101	75	
INVHsInv1785BP1CHM1	315	189	0	135	47	
INVHsInv1785BP2CHM1	676	207	0	149	50	
INVHsInv1790BP1HG03115	1736	16	0	16	16	
INVHsInv1790BP2HG03115	991	18	0	17	17	
INVHsInv1798BP1NA24149	2309	611	12	162	85	errorMatches
INVHsInv1798BP2NA24149	2896	253	29	148	60	errorMatches
INVHsInv1819BP1HX1	38	23	0	15	0	emptyAlt
INVHsInv1819BP2HX1	1403	18	0	13	2	
INVHsInv1820BP1HG03115	1854	45	0	34	21	
INVHsInv1820BP2HG03115	3758	42	0	32	22	
INVHsInv1838BP1YH	2803	123	103	6	3	errorMatches
INVHsInv1838BP2YH	1889	238	0	198	126	
INVHsInv1848BP1NA19129	763	85	0	83	72	
INVHsInv1848BP2NA19129	2928	317	53	99	63	errorMatches
INVHsInv1867BP1NA12878	3096	430	0	302	123	
INVHsInv1867BP2NA12878	1565	668	0	499	239	
INVHsInv1874BP1CHM13	3214	1175	5	842	351	errorMatches
INVHsInv1875BP1CHM13	25	8	0	6	1	
INVHsInv1875BP2CHM13	35	13	0	7	0	emptyAlt
REFHsOta1141BP0HG38	6612	2306	1657	0	733	
REFHsOtb1141BP3HG38	7747	2659	1911	1	862	errorMatches
REFHsOtb1141BP4HG38	7368	2657	1931	0	882	
REFHsOtb1874BP3HG38	1667	713	486	0	178	
REFHsOth0154BP0HG38	2782	1303	978	0	489	
REFHsOth0170BP0HG38	3123	1616	1173	0	511	
REFHsOth0171BP0HG38	3535	2152	1497	0	590	
REFHsOth0178BP0HG38	4304	1978	1351	0	482	
REFHsOth0182BP0HG38	1978	1166	814	0	319	
REFHsOth0186BP0HG38	4132	2357	1669	1	717	errorMatches
REFHsOth0211BP0HG38	4389	2084	1455	1	0	emptyRef,errorMatches
REFHsOth0224BP0HG38	3774	2071	1496	0	650	
REFHsOth0310BP0HG38	4594	2135	1577	1	769	errorMatches
REFHsOth0335BP0HG38	2143	1559	1059	62	481	errorMatches
REFHsOth0463BP0HG38	2948	1189	782	3	279	errorMatches
REFHsOth0574BP0HG38	3095	1751	1338	7	705	errorMatches
REFHsOth0589BP0HG38	2994	1821	1245	69	550	errorMatches
REFHsOth0612BP0HG38	4122	2260	1629	0	731	
REFHsOth0968BP0HG38	4	3	2	0	0	emptyRef
REFHsOth0987BP0HG38	2780	991	771	6	407	errorMatches
REFHsOth0997BP0HG38	3898	1762	1161	13	402	errorMatches
REFHsOth1004BP0HG38	5489	1385	1069	0	592	
REFHsOth1013BP0HG38	6876	2171	1557	0	635	
REFHsOth1112BP0HG38	2461	1322	948	7	463	errorMatches
REFHsOth1122BP1HG18	3042	1219	792	0	225	
REFHsOth1122BP2HG18	2303	773	497	0	123	
REFHsOth1130BP0HG38	2379	1288	894	0	347	
REFHsOth1146BP0HG38	3396	1660	1172	0	461	
REFHsOth1153BP0HG38	2515	1344	840	0	349	
REFHsOth1216BP0HG38	5621	2267	1655	0	753	
REFHsOth1225BP0HG38	3595	2046	1460	0	603	
REFHsOth1240BP0HG38	5710	2546	1813	1	731	errorMatches
REFHsOth1269BP0HG38	4680	2839	2022	0	853	
REFHsOth1275BP0HG38	3829	2555	1843	0	829	
REFHsOth1306BP1HG38	6698	2382	1640	0	753	
REFHsOth1306BP2HG38	6236	2441	1746	1	728	errorMatches
REFHsOth1313BP0HG38	1	1	1	0	0	emptyRef
REFHsOth1329BP0HG38	5578	2293	1597	1	632	errorMatches
